CA,Diumenge,Dilluns,Dimarts,Dimecres,Dijous,Divendres,Dissabte,
ES,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,
HU,vasárnap,hétfő,kedd,szerda,csütörtök,péntek,szombat,
RO,duminică,luni,marţi,miercuri,joi,vineri,sîmbătă,
CZ,nedĕle,pondĕlí,úterý,středa,čtvrtek,pátek,sobota,
FI,sunnuntai,maanantai,tiistai,keskiviikko,torstai,perjantai,lauantai,
IT,Domenica,Lunedi,Martedì,Mercoledì,Giovedi,Venerdì,Sabato,
RU,воскресенье,понедельник,вторник,среда,четверг,пятница,суббота,
DE,Sonntag,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,
FR,Dimanche,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,
NL,zondag,maandag,dinsdag,woensdag,donderdag,vrijdag,zaterdag,
SE,söndag,måndag,tisdag,onsdag,torsdag,fredag,lördag,
DK,søndag,mandag,tirsdag,onsdag,torsdag,fredag,lørdag,
IS,sunnudagur,mánudagur,þriðjudagur,miðvikudagur,fimmtudagur,föstudagur,laugardagur,
VI,thứ bảy,chủ nhật, thứ hai, thứ ba, thứ tư,thứ năm, thứ sáu, 
SI,Nedelja,Ponedeljek,Torek,Sreda,Četrtek,Petek,Sobota,
EN,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,
GR,Κυριακή,Δευτέρα,Τρίτη,Τετάρτη,Πέμπτη,Παρασκευή,Σάββατο,
PL,niedziela,poniedziałek,wtorek,środa,czwartek,piątek,sobota,
SK,nedel'a,pondelok,utorok,streda,štvrtok,piatok,sobota,
